Name,Party,State,Ongoing Investigations,Criminal Charges,Total
Adail Carneiro,Podemos,CE,1,,1
Adalberto Cavalcanti,Avante,PE,1,1,2
Adelson Barreto,PR,SE,1,,1
Adilton Sachetti,PRB,MT,2,2,4
Afonso Motta,PDT,RS,1,,1
Aguinaldo Ribeiro,PP,PB,1,,1
Alberto Fraga,DEM,DF,0,4,4
Alceu Moreira,MDB,RS,1,,1
Alex Canziani,PTB,PR,1,,1
Alfredo Kaefer,PP,PR,8,1,9
Alfredo Nascimento,PR,AM,1,,1
Altineu Côrtes,PR,RJ,2,,2
André Moura,PSC,SE,6,3,9
Andrés Sanchez,PT,SP,6,,6
Aníbal Gomes,DEM,CE,3,1,4
Antônio Balhmann,PDT,CE,2,,2
Antônio Brito,PSD,BA,1,,1
Arlindo Chinaglia,PT,SP,2,,2
Arnaldo Faria De Sá,PP,SP,1,,1
Arnaldo Jardim,PPS,SP,1,,1
Arthur Lira,PP,AL,7,,7
Arthur Oliveira Maia,DEM,BA,1,,1
Assis Carvalho,PT,PI,1,,1
Assis Melo,PSDB,RS,1,,1
Átila Lira,PSB,PI,1,,1
Augusto Coutinho,SD,PE,,1,1
Benito Gama,PTB,BA,1,,1
Betinho Gomes,PSDB,PE,3,,3
Beto Faro,PT,PA,1,,1
Beto Mansur,MDB,SP,2,,2
Bonifácio De Andrada,DEM,MG,1,,1
Bruna Furlan,PSDB,SP,1,,1
Cabo Daciolo,PEN,RJ,1,1,2
Cacá Leão,PP,BA,1,,1
Caetano,PT,BA,1,1,2
Cajar Nardes,Podemos,RS,,2,2
Carlos Bezerra,MDB,MT,2,1,3
Carlos Henrique Gaguim,DEM,TO,1,,1
Carlos Souza,PSDB,AM,1,,1
Carlos Zarattini,PT,SP,2,,2
Celio Silveira,PSDB,GO,2,,2
Celso Russomanno,PRB,SP,2,,2
César Halum,PRB,TO,1,,1
Chico Lopes,PCdoB,CE,1,,1
Cícero Almeida,PHS,AL,2,1,3
Clarissa Garotinho,PROS,RJ,1,,1
Dâmina Pereira,Podemos,MG,1,,1
Daniel Almeida,PCdoB,BA,1,,1
Danilo Forte,PSDB,CE,1,,1
Décio Lima,PT,SC,2,,2
Delegado Éder Mauro,PSD,PA,1,2,3
Dilceu Sperafico,PDT,PR,1,,1
Dimas Fabiano,PP,MG,1,,1
Édio Lopes,PR,RR,0,1,1
Eduardo Barbosa,PSDB,MG,1,,1
Eduardo Da Fonte,PP,PE,2,,2
